"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","footnote","min_year_acquired"
"1283953","167517","1018","0","0","57","","","","",""
"1283954","167517","1062","1291","0","49","","","","",""
"1283955","167517","1075","0","3","1","0","0","","",""
"1283956","167517","1079","2.6","3","1","2.4","2.9","","",""
"1283957","167517","1089","6.59","6","1","4.53","7.58","","",""
"1283958","167517","1090","22","6","1","15","29","","",""
"1283959","167517","1091","444","6","1","429","458","","",""
"1283960","167517","1114","0","0","68","","","","",""
"1283961","167518","1003","6.92","2","1","6.85","7","","",""
"1283962","167518","1007","3.04","2","1","2.82","3.26","","",""
"1283963","167518","1009","38.55","2","1","37.92","39.18","","",""
"1283964","167518","1012","0","2","1","0","0","","",""
"1283965","167518","1013","1.39","2","1","0.78","2","","",""
"1283966","167518","1062","1209","0","49","","","","",""
"1283967","167518","1075","0","2","1","0","0","","",""
"1283968","167518","1079","2.4","2","1","2","2.9","","",""
"1283969","167518","1089","6.53","2","1","6.3","6.77","","",""
"1283970","167518","1090","20","2","1","20","20","","",""
"1283971","167518","1091","410","2","1","382","438","","",""
"1283972","167518","1093","663","2","1","581","745","","",""
"1283973","167518","1098","0.063","2","1","0.06","0.066","","",""
"1283974","167518","1101","0.235","2","1","0.224","0.246","","",""
"1283975","167518","1104","1430","0","","","","","",""
"1283976","167518","1105","429","2","1","212","646","","",""
"1283977","167518","1106","429","0","","","","","",""
"1283978","167518","1127","1.33","2","1","1.15","1.52","","",""
"1283979","167518","1130","0","2","1","0","0","","",""
"1283980","167518","1131","0","2","1","0","0","","",""
"1283981","167518","1162","0","2","1","0","0","","",""
"1283982","167518","1165","0.576","2","1","0.564","0.587","","",""
"1283983","167518","1166","0.695","2","1","0.69","0.7","","",""
"1283984","167518","1177","64","2","1","59","68","","",""
"1283985","167518","1178","2.44","2","1","1.37","3.52","","",""
"1283986","167518","1184","20.8","1","1","","","","",""
"1283987","167518","1185","10.8","1","1","","","","",""
"1283988","167518","1187","14","0","","","","","",""
"1283989","167518","1253","16","2","1","7","25","","",""
"1283990","167518","1258","2.057","0","49","","","","",""
"1283991","167518","1261","0","2","1","0","0","","",""
"1283992","167518","1263","0","2","1","0","0","","",""
"1283993","167518","1264","0.023","2","1","0.022","0.024","","",""
"1283994","167518","1273","0.035","2","1","0.035","0.035","","",""
"1283995","167518","1274","0","2","1","0","0","","",""
"1283996","167518","1275","0.024","2","1","0.018","0.03","","",""
"1283997","167518","1300","0.011","2","1","0.011","0.012","","",""
"1283998","167518","1323","0","2","1","0","0","","",""
"1283999","167518","1333","0","2","1","0","0","","",""
"1284000","167518","1004","9.4","2","1","9.23","9.57","","",""
"1284001","167518","1005","44.16","0","49","","","","",""
"1284002","167518","1008","289","0","49","","","","",""
"1284003","167518","1010","2.77","2","1","2.44","3.11","","",""
"1284004","167518","1011","0","2","1","0","0","","",""
"1284005","167518","1014","0.34","2","1","0.32","0.35","","",""
"1284006","167518","1051","36.48","2","1","35.84","37.12","","",""
"1284007","167518","2000","4.5","2","1","3.54","5.45","","",""
"1284008","167518","1087","125","1","1","","","","",""
"1284009","167518","1092","110","2","1","103","116","","",""
"1284010","167518","1095","0.58","2","1","0.57","0.6","","",""
"1284011","167518","1103","10.1","2","1","9.6","10.5","","",""
"1284012","167518","1109","0.63","2","1","0.56","0.7","","",""
"1284013","167518","1125","0.08","2","1","0.08","0.09","","",""
"1284014","167518","1126","4.21","2","1","3.87","4.55","","",""
"1284015","167518","1128","0","2","1","0","0","","",""
"1284016","167518","1129","0","2","1","0","0","","",""
"1284017","167518","1167","6.73","2","1","6.2","7.26","","",""
"1284018","167518","1170","0.24","2","1","0.23","0.25","","",""
"1284019","167518","1175","1.105","2","1","0.87","1.34","","",""
"1284020","167518","1186","50","2","1","48","52","","",""
"1284021","167518","1190","99","0","49","","","","",""
"1284022","167518","1262","0","2","1","0","0","","",""
"1284023","167518","1265","1.112","2","1","1.034","1.191","","",""
"1284024","167518","1266","0.843","2","1","0.811","0.875","","",""
"1284025","167518","1267","0.032","2","1","0.032","0.033","","",""
"1284026","167518","1268","4.797","2","1","4.073","5.521","","",""
"1284027","167518","1269","1.482","2","1","1.183","1.781","","",""
"1284028","167518","1270","0.123","2","1","0.043","0.202","","",""
"1284029","167518","1271","0.005","2","1","0","0.011","","",""
"1284030","167518","1277","0.043","2","1","0.042","0.044","","",""
"1284031","167518","1292","4.864","0","49","","","","",""
"1284032","167518","1293","1.615","0","49","","","","",""
"1284033","167518","1299","0","2","1","0","0","","",""
"1284034","167518","1313","0","2","1","0","0","","",""
"1284035","167518","1321","0.005","2","1","0","0.01","","",""
"1284036","167518","1325","0","2","1","0","0","","",""
"1284037","167519","1190","106","0","49","","","","",""
"1284038","167519","1265","0.909","2","1","0.902","1.3","","",""
"1284039","167519","1266","0.576","2","1","0.487","0.909","","",""
"1284040","167519","1267","0.042","2","1","0.038","0.065","","",""
"1284041","167519","1268","5.099","2","1","6.078","6.268","","",""
"1284042","167519","1269","1.856","2","1","1.369","3.126","","",""
"1284043","167519","1270","0.371","2","1","0.048","0.85","","",""
"1284044","167519","1271","0.005","2","1","0","0.013","","",""
"1284045","167519","1277","0.07","2","1","0.042","0.128","","",""
"1284046","167519","1292","5.195","0","49","","","","",""
"1284047","167519","1293","2.24","0","49","","","","",""
"1284048","167519","1299","0","2","1","0","0","","",""
"1284049","167519","1313","0.007","2","1","0","0.017","","",""
"1284050","167519","1321","0","2","1","0","0","","",""
"1284051","167519","1325","0","2","1","0","0","","",""
"1284052","167519","1004","9.91","2","1","9.58","10.23","","",""
"1284053","167519","1005","45.41","0","49","","","","",""
"1284054","167519","1008","298","0","49","","","","",""
"1284055","167519","1010","3.31","2","1","2.21","4.41","","",""
"1284056","167519","1011","0","2","1","0","0","","",""
"1284057","167519","1014","0.28","2","1","0.26","0.29","","",""
"1284058","167519","1051","34.95","2","1","32.77","37.13","","",""
"1284059","167519","2000","5.04","2","1","3.63","6.46","","",""
"1284060","167519","1087","197","1","1","","","","",""
"1284061","167519","1092","148","2","1","127","169","","",""
"1284062","167519","1095","0.45","2","1","0.35","0.56","","",""
"1284063","167519","1103","12.8","2","1","8.7","16.9","","",""
"1284064","167519","1109","0.95","2","1","0.6","1.31","","",""
"1284065","167519","1125","0.07","2","1","0.06","0.08","","",""
"1284066","167519","1126","4.52","2","1","4.03","5.02","","",""
"1284067","167519","1128","0","2","1","0","0","","",""
"1284068","167519","1129","0","2","1","0","0","","",""
"1284069","167519","1167","7.785","2","1","6.95","8.62","","",""
"1284070","167519","1170","0.325","2","1","0.3","0.35","","",""
"1284071","167519","1175","1.016","2","1","0.882","1.15","","",""
"1284072","167519","1186","56","1","1","","","","",""
"1284073","167519","1262","0","2","1","0","0","","",""
"1284074","167519","1273","0.035","2","1","0.037","0.047","","",""
"1284075","167519","1274","0","2","1","0","0","","",""
"1284076","167519","1275","0.026","2","1","0.032","0.032","","",""
"1284077","167519","1300","0.005","2","1","0","0.013","","",""
"1284078","167519","1323","0","2","1","0","0","","",""
"1284079","167519","1333","0","2","1","0","0","","",""
"1284080","167519","1003","6.71","2","1","6.34","7.08","","",""
"1284081","167519","1007","3.02","2","1","2.78","3.26","","",""
"1284082","167519","1009","38.63","2","1","38.11","39.16","","",""
"1284083","167519","1012","0","2","1","0","0","","",""
"1284084","167519","1013","1.46","2","1","1.16","1.76","","",""
"1284085","167519","1062","1245","0","49","","","","",""
"1284086","167519","1075","0","2","1","0","0","","",""
"1284087","167519","1079","2.4","2","1","2.1","2.7","","",""
"1284088","167519","1089","5.81","2","1","5.61","6.01","","",""
"1284089","167519","1090","25","2","1","21","29","","",""
"1284090","167519","1091","410","2","1","398","422","","",""
"1284091","167519","1093","682","2","1","649","714","","",""
"1284092","167519","1098","0.038","1","1","","","","",""
"1284093","167519","1101","0.154","2","1","0.037","0.271","","",""
"1284094","167519","1127","1.18","2","1","0.73","1.62","","",""
"1284095","167519","1130","0","2","1","0","0","","",""
"1284096","167519","1131","0","2","1","0","0","","",""
"1284097","167519","1165","0.544","2","1","0.472","0.615","","",""
"1284098","167519","1166","0.655","2","1","0.6","0.71","","",""
"1284099","167519","1177","67","1","1","","","","",""
"1284100","167519","1178","2.18","2","1","0.96","3.4","","",""
"1284101","167519","1184","23","1","1","","","","",""
"1284102","167519","1185","8.1","1","1","","","","",""
"1284103","167519","1187","11","0","","","","","",""
"1284104","167519","1253","16","2","1","7","24","","",""
"1284105","167519","1258","1.58","0","49","","","","",""
"1284106","167519","1261","0","2","1","0","0","","",""
"1284107","167519","1263","0","2","1","0","0","","",""
"1284108","167519","1264","0.012","2","1","0.014","0.015","","",""
"1284109","167520","1005","64.3","0","49","","","","",""
"1284110","167520","1008","501","0","49","","","","",""
"1284111","167520","1057","0","0","39","","","","",""
"1284112","167520","1058","0","0","39","","","","",""
"1284113","167520","2000","18.13","0","51","","","","",""
"1284114","167520","1110","0","0","39","","","","",""
"1284115","167520","1123","23","0","39","","","","",""
"1284116","167520","1242","0","0","39","","","","",""
"1284117","167520","1292","16.928","0","49","","","","",""
"1284118","167520","1293","1.671","0","49","","","","",""
"1284119","167520","1190","97","0","49","","","","",""
"1284120","167520","1246","0","0","39","","","","",""
"1284121","167520","1253","0","0","39","","","","",""
"1284122","167520","1258","4.999","0","49","","","","",""
"1284123","167520","1018","0","0","39","","","","",""
"1284124","167520","1062","2097","0","49","","","","",""
"1284125","167520","1104","1","0","49","","","","",""
"1284126","167520","1105","0","0","39","","","","",""
"1284127","167520","1106","0","0","49","","","","",""
"1284128","167520","1107","0","0","39","","","","",""
"1284129","167520","1108","0","0","39","","","","",""
"1284130","167520","1114","0","0","39","","","","",""
"1284131","167520","1120","0","0","39","","","","",""
"1284132","167520","1122","0","0","39","","","","",""
"1284133","167520","1162","0","0","39","","","","",""
"1284134","167520","1178","0","0","39","","","","",""
"1284135","167520","1004","24.83","3","1","21.78","27.28","","",""
"1284136","167520","1299","0.001","3","1","0","0.002","","",""
"1284137","167520","1259","0","3","1","0","0","","",""
"1284138","167520","1260","0","3","1","0","0","","",""
"1284139","167520","1262","0","3","1","0","0","","",""
"1284140","167520","1265","2.775","3","1","2.343","3.287","","",""
"1284141","167520","1266","1.974","3","1","1.727","2.181","","",""
"1284142","167520","1267","0.096","3","1","0.08","0.112","","",""
"1284143","167520","1268","16.884","3","","15.005","18.188","","",""
"1284144","167520","1269","1.611","3","","1.444","1.811","","",""
"1284145","167520","1270","0.06","3","","0.048","0.07","","",""
"1284146","167520","1271","0","3","1","0","0","","",""
"1284147","167520","1276","0","3","1","0","0","","",""
"1284148","167520","1277","0.034","3","1","0.029","0.037","","",""
"1284149","167520","1279","0","3","1","0","0","","",""
"1284150","167520","1167","3.22","3","1","3.13","3.29","","",""
"1284151","167520","1170","0.178","3","1","0.15","0.202","","",""
"1284152","167520","1175","0.076","3","1","0.052","0.097","","",""
"1284153","167520","1180","17.7","0","","","","","",""
"1284154","167520","1087","29","3","1","19","38","","",""
"1284155","167520","1092","113","3","1","90","130","","",""
"1284156","167520","1095","1.25","3","1","0.75","1.6","","",""
"1284157","167520","1103","2.6","3","1","2.2","3.3","","",""
"1284158","167520","1109","1.85","3","1","1.39","2.56","","",""
"1284159","167520","1010","18.13","3","1","16","20.3","","",""
"1284160","167520","1011","0","3","1","0","0","","",""
"1284161","167520","1014","0","3","1","0","0","","",""
"1284162","167520","1051","4.37","3","1","4.14","4.67","","",""
"1284163","167520","1003","5.1","3","1","4.75","5.38","","",""
"1284164","167520","1261","0","3","1","0","0","","",""
"1284165","167520","1263","0","3","1","0","0","","",""
"1284166","167520","1264","0.02","3","1","0.017","0.023","","",""
"1284167","167520","1272","0","3","1","0","0","","",""
"1284168","167520","1273","0.102","3","1","0.082","0.118","","",""
"1284169","167520","1275","0.011","3","","0.002","0.017","","",""
"1284170","167520","1278","0","3","1","0","0","","",""
"1284171","167520","1280","0","3","1","0","0","","",""
"1284172","167520","1300","0.031","3","1","0.023","0.036","","",""
"1284173","167520","1098","0.223","3","1","0.148","0.28","","",""
"1284174","167520","1101","1.287","3","1","0.66","1.9","","",""
"1284175","167520","1185","21.8","3","1","14.9","25.5","","",""
"1284176","167520","1187","19","3","","14","22","","",""
"1284177","167520","1165","0.184","3","1","0.093","0.276","","",""
"1284178","167520","1166","0.213","3","1","0.2","0.225","","",""
"1284179","167520","1177","65","3","1","50","80","","",""
"1284180","167520","1079","1.9","3","1","1.2","2.3","","",""
"1284181","167520","1089","2.6","3","1","2.5","2.8","","",""
"1284182","167520","1090","23","3","1","16","29","","",""
"1284183","167520","1091","117","3","1","96","160","","",""
"1284184","167520","1007","1.39","3","1","1.16","1.73","","",""
"1284185","167520","1009","35.87","3","1","35.7","36.1","","",""
"1284186","167520","1012","0","3","1","0","0","","",""
"1284187","167520","1013","0","3","1","0","0","","",""
"1284188","167520","1093","471","0","44","","","","",""
"1284189","167520","1198","38.8","1","1","","","","",""
"1284190","167520","1186","46","3","1","36","58","","",""
